amine_homo_lumo,amine_homo,amine_dipole,acid_homo_lumo,acid_lumo,acid_dipole,product_homo_lumo,product_dipole,acid_amine_gap
6.5896,-6.7275,1.5264,8.1918,0.3035,1.77142,6.5657,3.23903,7.031
6.5896,-6.7275,1.5264,8.1918,0.3035,1.77142,6.5657,3.23903,7.031
6.5896,-6.7275,1.5264,8.1918,0.3035,1.77142,6.5657,3.23903,7.031
6.5896,-6.7275,1.5264,8.1918,0.3035,1.77142,6.5657,3.23903,7.031
6.5896,-6.7275,1.5264,6.7581999999999995,-0.3117,4.10417,6.402,3.41999,6.4158
6.5896,-6.7275,1.5264,6.7581999999999995,-0.3117,4.10417,6.402,3.41999,6.4158
6.5896,-6.7275,1.5264,6.7581999999999995,-0.3117,4.10417,6.402,3.41999,6.4158
6.5896,-6.7275,1.5264,6.7581999999999995,-0.3117,4.10417,6.402,3.41999,6.4158
6.5896,-6.7275,1.5264,8.1918,0.3035,1.77142,6.5657,3.23903,7.031
6.282299999999999,-6.4601,1.01614,6.7581999999999995,-0.3117,4.10417,6.2764,3.58089,6.1484
6.5896,-6.7275,1.5264,6.578600000000001,-0.475,1.86684,6.5342,3.04428,6.2525
6.5896,-6.7275,1.5264,6.578600000000001,-0.475,1.86684,6.5342,3.04428,6.2525
6.5896,-6.7275,1.5264,6.578600000000001,-0.475,1.86684,6.5342,3.04428,6.2525
6.5896,-6.7275,1.5264,6.476800000000001,-0.6427,2.40565,6.4501,4.06318,6.0847999999999995
5.8260000000000005,-5.8874,1.77366,6.578600000000001,-0.475,1.86684,5.6656,3.40503,5.412400000000001
6.5896,-6.7275,1.5264,8.001,0.3619,1.90694,6.2839,3.55417,7.0894
6.5896,-6.7275,1.5264,4.9384,-2.0418,2.39843,4.997,3.39851,4.685700000000001
6.5896,-6.7275,1.5264,6.1373,-1.4949,2.0299,6.0001999999999995,3.31443,5.2326
6.5896,-6.7275,1.5264,5.6188,-2.5054,3.70983,5.0375,5.28618,4.2221
6.5896,-6.7275,1.5264,5.6188,-2.5054,3.70983,5.0375,5.28618,4.2221
6.5896,-6.7275,1.5264,5.6188,-2.5054,3.70983,5.0375,5.28618,4.2221
6.5896,-6.7275,1.5264,6.7581999999999995,-0.3117,4.10417,6.402,3.41999,6.4158
6.5896,-6.7275,1.5264,6.7581999999999995,-0.3117,4.10417,6.402,3.41999,6.4158
6.5896,-6.7275,1.5264,6.7581999999999995,-0.3117,4.10417,6.402,3.41999,6.4158
6.5896,-6.7275,1.5264,6.7581999999999995,-0.3117,4.10417,6.402,3.41999,6.4158
6.5896,-6.7275,1.5264,6.7581999999999995,-0.3117,4.10417,6.402,3.41999,6.4158
6.5896,-6.7275,1.5264,6.7581999999999995,-0.3117,4.10417,6.402,3.41999,6.4158
6.5896,-6.7275,1.5264,8.1379,0.3953,2.03707,6.5657,3.23903,7.1228
6.5896,-6.7275,1.5264,8.1379,0.3953,2.03707,6.5657,3.23903,7.1228
6.5896,-6.7275,1.5264,8.1379,0.3953,2.03707,6.5657,3.23903,7.1228
6.5896,-6.7275,1.5264,8.1379,0.3953,2.03707,6.5657,3.23903,7.1228
6.5896,-6.7275,1.5264,8.1379,0.3953,2.03707,6.5657,3.23903,7.1228
6.5896,-6.7275,1.5264,6.7581999999999995,-0.3117,4.10417,6.402,3.41999,6.4158
6.5896,-6.7275,1.5264,6.7581999999999995,-0.3117,4.10417,6.402,3.41999,6.4158
6.282299999999999,-6.4601,1.01614,6.7581999999999995,-0.3117,4.10417,6.2764,3.58089,6.1484
6.282299999999999,-6.4601,1.01614,6.7581999999999995,-0.3117,4.10417,6.2764,3.58089,6.1484
6.5896,-6.7275,1.5264,6.1894,-1.6204,4.79785,6.0001999999999995,3.31443,5.1071
6.5896,-6.7275,1.5264,6.1894,-1.6204,4.79785,6.0001999999999995,3.31443,5.1071
6.282299999999999,-6.4601,1.01614,6.1894,-1.6204,4.79785,5.925,3.51694,4.8397
6.282299999999999,-6.4601,1.01614,6.1894,-1.6204,4.79785,5.925,3.51694,4.8397
6.5896,-6.7275,1.5264,8.1257,0.3808,2.06128,6.5657,3.23903,7.1083
6.5896,-6.7275,1.5264,8.1257,0.3808,2.06128,6.5657,3.23903,7.1083
6.5896,-6.7275,1.5264,8.1257,0.3808,2.06128,6.5657,3.23903,7.1083
6.5896,-6.7275,1.5264,8.0889,0.2455,1.81682,6.7101,3.12872,6.973
6.5896,-6.7275,1.5264,8.0889,0.2455,1.81682,6.7101,3.12872,6.973
6.5896,-6.7275,1.5264,8.1842,0.2301,1.51511,6.6936,3.32231,6.9576
6.5896,-6.7275,1.5264,8.1842,0.2301,1.51511,6.6936,3.32231,6.9576
6.5896,-6.7275,1.5264,8.1842,0.2301,1.51511,6.6936,3.32231,6.9576
6.5896,-6.7275,1.5264,8.065199999999999,0.2926,4.32435,6.6738,3.17823,7.0201
6.5896,-6.7275,1.5264,8.065199999999999,0.2926,4.32435,6.6738,3.17823,7.0201
6.5896,-6.7275,1.5264,8.065199999999999,0.2926,4.32435,6.6738,3.17823,7.0201
6.5896,-6.7275,1.5264,6.602099999999999,-0.8192,4.42152,6.4149,3.26362,5.9083
6.5896,-6.7275,1.5264,6.602099999999999,-0.8192,4.42152,6.4149,3.26362,5.9083
6.5896,-6.7275,1.5264,6.602099999999999,-0.8192,4.42152,6.4149,3.26362,5.9083
6.5896,-6.7275,1.5264,8.001,0.3619,1.90694,6.2839,3.55417,7.0894
6.5896,-6.7275,1.5264,8.001,0.3619,1.90694,6.2839,3.55417,7.0894
6.5896,-6.7275,1.5264,8.001,0.3619,1.90694,6.2839,3.55417,7.0894
6.5896,-6.7275,1.5264,8.001,0.3619,1.90694,6.2839,3.55417,7.0894
6.5896,-6.7275,1.5264,6.1334,-0.9198,4.25126,6.1735,3.33356,5.8077000000000005
6.5896,-6.7275,1.5264,6.1334,-0.9198,4.25126,6.1735,3.33356,5.8077000000000005
6.5896,-6.7275,1.5264,6.1334,-0.9198,4.25126,6.1735,3.33356,5.8077000000000005
6.282299999999999,-6.4601,1.01614,8.1257,0.3808,2.06128,6.6204,3.5158,6.8408999999999995
6.282299999999999,-6.4601,1.01614,8.1257,0.3808,2.06128,6.6204,3.5158,6.8408999999999995
6.282299999999999,-6.4601,1.01614,8.1257,0.3808,2.06128,6.6204,3.5158,6.8408999999999995
6.5896,-6.7275,1.5264,7.3026,-0.1501,1.13267,6.4221,5.96441,6.5774
6.5896,-6.7275,1.5264,7.3026,-0.1501,1.13267,6.4221,5.96441,6.5774
6.5896,-6.7275,1.5264,7.3026,-0.1501,1.13267,6.4221,5.96441,6.5774
6.5896,-6.7275,1.5264,5.8433,-1.4317,1.56906,6.0048,3.47885,5.2958
6.5896,-6.7275,1.5264,5.8433,-1.4317,1.56906,6.0048,3.47885,5.2958
6.5896,-6.7275,1.5264,5.8433,-1.4317,1.56906,6.0048,3.47885,5.2958
6.5896,-6.7275,1.5264,6.7842,-0.4361,3.992,6.5381,3.41036,6.2914
6.5896,-6.7275,1.5264,6.7842,-0.4361,3.992,6.5381,3.41036,6.2914
6.5896,-6.7275,1.5264,6.7842,-0.4361,3.992,6.5381,3.41036,6.2914
6.5896,-6.7275,1.5264,6.7842,-0.4361,3.992,6.5381,3.41036,6.2914
6.5896,-6.7275,1.5264,6.7842,-0.4361,3.992,6.5381,3.41036,6.2914
6.5896,-6.7275,1.5264,6.7842,-0.4361,3.992,6.5381,3.41036,6.2914
6.5896,-6.7275,1.5264,6.7842,-0.4361,3.992,6.5381,3.41036,6.2914
