,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_COO,fr_Ar_N,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_NH2,fr_aldehyde,fr_alkyl_halide,fr_amide,fr_aniline,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_halogen,fr_methoxy,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_priamide,fr_pyridine,fr_sulfide,fr_unbrch_alkane,Boron Partial Charge
C[n+]1ccc(B(O)O)cc1.[I-],8.660891912320483,-1.36,8.660891912320483,0.0,0.30388781890128447,264.859,255.78699999999998,264.977106928,60.0,0.4883713933954707,-1.0,1.0,0.4883713933954707,1.2727272727272727,1.7272727272727273,2.090909090909091,126.90400008911938,9.811644896196032,2.0999137841230007,-1.9367125697378018,1.754456961951575,-2.9960023055505287,6.58001999602211,-0.6709568143290172,9.999998220000328e-07,214.32719734420328,7.560477932315068,6.106356605457231,8.263854896633553,4.698377302757663,3.012701224939708,3.012701224939708,2.1706136519126997,2.1706136519126997,1.3023887651244548,1.3023887651244548,0.6846486364674723,0.6846486364674723,-0.13506493506493533,180.91251467537336,10.864935064935064,4.68414307021498,3.174306319003079,82.85082863895485,34.02468527539406,7.04767198267719,12.393687143226153,0.0,0.0,7.118392334224363,0.0,4.567099647791355,0.0,0.0,0.0,5.462803260414833,12.13273413692322,0.0,38.591784923185415,12.581195594639196,0.0,0.0,7.04767198267719,0.0,0.0,24.52642128014937,0.0,34.00654303346825,0.0,0.0,0.0,17.16643748435637,7.04767198267719,0.0,0.0,24.52642128014937,0.0,0.0,44.34,7.118392334224363,0.0,23.97664012526206,5.462803260414833,0.0,0.0,24.52642128014937,11.614771630468544,0.0,10.048045150132006,1.8252777777777778,0.0,0.0,17.321783824640967,0.51212962962963,0.0,3.314814814814815,3.5174074074074073,0.0,0.5085865457294028,0.16666666666666666,11.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,1.0,0.0,0.0,1.0,-4.805099999999998,37.4436,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.243
C[n+]1cccc(B(O)O)c1.[I-],8.69037037037037,-1.3681481481481483,8.69037037037037,0.0,0.30388781890128447,264.859,255.78699999999998,264.977106928,60.0,0.4940877054957065,-1.0,1.0,0.4940877054957065,1.4545454545454546,2.090909090909091,2.4545454545454546,126.90400008911935,9.816832462688122,2.122086563404814,-1.9343010982951194,1.7516841994694101,-2.9960023051530835,6.578803149130248,-0.6702876116532003,9.999998260000313e-07,231.57719734420328,7.560477932315068,6.106356605457231,8.263854896633553,4.698377302757663,3.012701224939708,3.012701224939708,2.176425321349503,2.176425321349503,1.2607275658831045,1.2607275658831045,0.763837710398501,0.763837710398501,-0.13506493506493533,178.19278742290373,10.864935064935064,4.68414307021498,3.174306319003079,82.85082863895482,34.02468527539406,7.04767198267719,12.393687143226153,0.0,0.0,7.118392334224363,0.0,4.567099647791355,0.0,0.0,6.06636706846161,0.0,11.529170328876443,0.0,38.591784923185415,12.581195594639196,0.0,0.0,7.04767198267719,0.0,0.0,24.52642128014937,0.0,34.00654303346825,0.0,0.0,0.0,17.16643748435637,7.04767198267719,0.0,0.0,24.52642128014937,0.0,0.0,44.34,7.118392334224363,0.0,23.97664012526206,5.462803260414833,0.0,0.0,22.89667735632765,13.244515554290267,0.0,10.048045150132006,1.7587037037037037,0.0,0.0,17.38074074074074,0.50462962962963,0.0,3.4161111111111113,3.4826851851851854,0.0,0.45712962962962944,0.16666666666666666,11.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,1.0,0.0,0.0,1.0,-4.805099999999998,37.4436,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.464
OB(O)c1cccnc1,8.539259259259259,-1.403981481481482,8.539259259259259,0.4143518518518521,0.4589686283234588,122.91999999999997,116.87199999999999,123.04915883199999,46.0,0.48950877365117523,-0.42314214417296614,0.48950877365117523,0.42314214417296614,1.4444444444444444,2.2222222222222223,2.5555555555555554,16.37646170130798,9.81826859080284,2.0782597935234213,-1.9314523450245649,1.7674655940209631,-2.2911820301745394,6.57953946743845,0.4253807802614314,2.848234050597751,177.57268595970638,6.69023444431199,4.728392132448003,4.728392132448003,4.304530452640311,2.56548762943975,2.56548762943975,1.660027541855181,1.660027541855181,0.9825569225095381,0.9825569225095381,0.528700215316128,0.528700215316128,-0.8650649350649352,129.22533870330605,6.257861676151718,2.6143758588174726,1.517345774150611,53.132122621329046,10.048045150132006,0.0,0.0,0.0,0.0,7.118392334224363,4.9839785209472085,0.0,0.0,0.0,6.06636706846161,6.06636706846161,17.856490403640986,0.0,10.048045150132006,12.581195594639196,0.0,4.9839785209472085,0.0,0.0,0.0,24.526421280149375,0.0,5.462803260414833,0.0,0.0,0.0,22.150416005303576,0.0,0.0,0.0,24.526421280149375,0.0,0.0,53.35000000000001,7.118392334224363,0.0,0.0,5.462803260414833,0.0,6.196843571613076,18.3295777085363,0.0,4.9839785209472085,10.048045150132006,0.0,0.0,3.685925925925926,17.078518518518518,0.4143518518518521,0.0,3.2425,2.9826851851851854,0.0,-1.403981481481482,0.0,9.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0,1.0,0.0,0.0,1.0,-1.2386000000000001,34.0626,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.473
OB(O)c1ccncc1,8.551481481481481,-1.381481481481482,8.551481481481481,0.46296296296296324,0.4589686283234588,122.91999999999997,116.87199999999999,123.049158832,46.0,0.48802989214058434,-0.42317583232380196,0.48802989214058434,0.42317583232380196,1.2222222222222223,1.7777777777777777,2.111111111111111,16.37643346777807,9.812424608869346,2.073550641455865,-1.9339883870093733,1.7692753037880768,-2.2880907872130662,6.580215539335938,0.4254824315881898,2.848234050597751,177.57268595970638,6.69023444431199,4.728392132448003,4.728392132448003,4.304530452640311,2.56548762943975,2.56548762943975,1.6542158724183778,1.6542158724183778,1.0042463681244829,1.0042463681244829,0.5355774379674862,0.5355774379674862,-0.8650649350649353,129.22533870330605,6.257861676151718,2.6143758588174726,1.517345774150611,53.13212262132905,10.048045150132006,0.0,0.0,0.0,0.0,7.118392334224363,4.9839785209472085,0.0,0.0,0.0,0.0,17.595537397338052,12.393687143226153,0.0,10.048045150132006,12.581195594639196,0.0,4.9839785209472085,0.0,0.0,0.0,24.52642128014937,0.0,5.462803260414833,0.0,0.0,0.0,22.150416005303576,0.0,0.0,0.0,24.52642128014937,0.0,0.0,53.35000000000001,7.118392334224363,0.0,0.0,5.462803260414833,0.0,12.393687143226153,12.13273413692322,0.0,4.9839785209472085,10.048045150132006,0.0,0.0,3.7055555555555557,17.102962962962962,0.46296296296296324,0.0,3.0925925925925926,3.0174074074074073,0.0,-1.381481481481482,0.0,9.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0,1.0,0.0,0.0,1.0,-1.2386000000000001,34.0626,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.478
C[n+]1ccc(B(O)O)cc1.[I-],8.660891912320483,-1.36,8.660891912320483,0.0,0.30388781890128447,264.859,255.78699999999998,264.977106928,60.0,0.4883713933954707,-1.0,1.0,0.4883713933954707,1.2727272727272727,1.7272727272727273,2.090909090909091,126.90400008911938,9.811644896196032,2.0999137841230007,-1.9367125697378018,1.754456961951575,-2.9960023055505287,6.58001999602211,-0.6709568143290172,9.999998220000328e-07,214.32719734420328,7.560477932315068,6.106356605457231,8.263854896633553,4.698377302757663,3.012701224939708,3.012701224939708,2.1706136519126997,2.1706136519126997,1.3023887651244548,1.3023887651244548,0.6846486364674723,0.6846486364674723,-0.13506493506493533,180.91251467537336,10.864935064935064,4.68414307021498,3.174306319003079,82.85082863895485,34.02468527539406,7.04767198267719,12.393687143226153,0.0,0.0,7.118392334224363,0.0,4.567099647791355,0.0,0.0,0.0,5.462803260414833,12.13273413692322,0.0,38.591784923185415,12.581195594639196,0.0,0.0,7.04767198267719,0.0,0.0,24.52642128014937,0.0,34.00654303346825,0.0,0.0,0.0,17.16643748435637,7.04767198267719,0.0,0.0,24.52642128014937,0.0,0.0,44.34,7.118392334224363,0.0,23.97664012526206,5.462803260414833,0.0,0.0,24.52642128014937,11.614771630468544,0.0,10.048045150132006,1.8252777777777778,0.0,0.0,17.321783824640967,0.51212962962963,0.0,3.314814814814815,3.5174074074074073,0.0,0.5085865457294028,0.16666666666666666,11.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,1.0,0.0,0.0,1.0,-4.805099999999998,37.4436,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.243
C[n+]1ccc(B(O)O)cc1.[I-],8.660891912320483,-1.36,8.660891912320483,0.0,0.30388781890128447,264.859,255.78699999999998,264.977106928,60.0,0.4883713933954707,-1.0,1.0,0.4883713933954707,1.2727272727272727,1.7272727272727273,2.090909090909091,126.90400008911938,9.811644896196032,2.0999137841230007,-1.9367125697378018,1.754456961951575,-2.9960023055505287,6.58001999602211,-0.6709568143290172,9.999998220000328e-07,214.32719734420328,7.560477932315068,6.106356605457231,8.263854896633553,4.698377302757663,3.012701224939708,3.012701224939708,2.1706136519126997,2.1706136519126997,1.3023887651244548,1.3023887651244548,0.6846486364674723,0.6846486364674723,-0.13506493506493533,180.91251467537336,10.864935064935064,4.68414307021498,3.174306319003079,82.85082863895485,34.02468527539406,7.04767198267719,12.393687143226153,0.0,0.0,7.118392334224363,0.0,4.567099647791355,0.0,0.0,0.0,5.462803260414833,12.13273413692322,0.0,38.591784923185415,12.581195594639196,0.0,0.0,7.04767198267719,0.0,0.0,24.52642128014937,0.0,34.00654303346825,0.0,0.0,0.0,17.16643748435637,7.04767198267719,0.0,0.0,24.52642128014937,0.0,0.0,44.34,7.118392334224363,0.0,23.97664012526206,5.462803260414833,0.0,0.0,24.52642128014937,11.614771630468544,0.0,10.048045150132006,1.8252777777777778,0.0,0.0,17.321783824640967,0.51212962962963,0.0,3.314814814814815,3.5174074074074073,0.0,0.5085865457294028,0.16666666666666666,11.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,1.0,0.0,0.0,1.0,-4.805099999999998,37.4436,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.243
C[n+]1ccc(B(O)O)cc1.[I-],8.660891912320483,-1.36,8.660891912320483,0.0,0.30388781890128447,264.859,255.78699999999998,264.977106928,60.0,0.4883713933954707,-1.0,1.0,0.4883713933954707,1.2727272727272727,1.7272727272727273,2.090909090909091,126.90400008911938,9.811644896196032,2.0999137841230007,-1.9367125697378018,1.754456961951575,-2.9960023055505287,6.58001999602211,-0.6709568143290172,9.999998220000328e-07,214.32719734420328,7.560477932315068,6.106356605457231,8.263854896633553,4.698377302757663,3.012701224939708,3.012701224939708,2.1706136519126997,2.1706136519126997,1.3023887651244548,1.3023887651244548,0.6846486364674723,0.6846486364674723,-0.13506493506493533,180.91251467537336,10.864935064935064,4.68414307021498,3.174306319003079,82.85082863895485,34.02468527539406,7.04767198267719,12.393687143226153,0.0,0.0,7.118392334224363,0.0,4.567099647791355,0.0,0.0,0.0,5.462803260414833,12.13273413692322,0.0,38.591784923185415,12.581195594639196,0.0,0.0,7.04767198267719,0.0,0.0,24.52642128014937,0.0,34.00654303346825,0.0,0.0,0.0,17.16643748435637,7.04767198267719,0.0,0.0,24.52642128014937,0.0,0.0,44.34,7.118392334224363,0.0,23.97664012526206,5.462803260414833,0.0,0.0,24.52642128014937,11.614771630468544,0.0,10.048045150132006,1.8252777777777778,0.0,0.0,17.321783824640967,0.51212962962963,0.0,3.314814814814815,3.5174074074074073,0.0,0.5085865457294028,0.16666666666666666,11.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,1.0,0.0,0.0,1.0,-4.805099999999998,37.4436,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.243
OB(O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,12.268854875283447,-4.9951388888888895,12.268854875283447,0.09138888888888896,0.5900738173675012,257.926,252.88599999999994,258.02867912,94.0,0.4879487100068279,-0.42317670227926935,0.4879487100068279,0.42317670227926935,0.7647058823529411,1.1176470588235294,1.3529411764705883,19.41709770487474,9.782314982306561,2.3726686723253017,-2.1324608462560763,2.340743767340283,-2.3187028738996687,6.581852624842642,-0.14248716731963768,3.3982245324897815,379.206922580797,13.430721420318147,7.9716151058137825,7.9716151058137825,7.514873883685389,4.171017140685694,4.171017140685694,3.2128833860855353,3.2128833860855353,1.9081378689694295,1.9081378689694295,1.1280450378406706,1.1280450378406706,-1.2150649350649356,2810.0235027617787,13.848286608409035,4.225681758727101,3.3684901280437827,91.63557128673317,10.048045150132006,0.0,0.0,0.0,0.0,19.47098936911131,0.0,0.0,26.34249028604892,0.0,12.13273413692322,11.529170328876443,0.0,11.126902983393991,36.39053543618093,12.581195594639196,0.0,0.0,0.0,12.35259703488695,0.0,29.32600418877882,0.0,5.462803260414833,26.34249028604892,0.0,0.0,17.16643748435637,12.35259703488695,0.0,11.126902983393991,18.19910120538483,0.0,0.0,40.46,36.060695612920135,26.34249028604892,18.19910120538483,0.0,0.0,0.0,0.0,0.0,0.0,10.048045150132006,73.61312925170068,0.0,0.0,17.249833711262283,-4.0435185185185185,0.0,0.4084259259259253,-9.990277777777777,0.0,-2.404259259259259,0.25,17.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,9.0,1.0,0.0,0.0,1.0,1.4039999999999997,46.27160000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.463
C[n+]1ccc(B(O)O)cc1.[I-],8.660891912320483,-1.36,8.660891912320483,0.0,0.30388781890128447,264.859,255.78699999999998,264.977106928,60.0,0.4883713933954707,-1.0,1.0,0.4883713933954707,1.2727272727272727,1.7272727272727273,2.090909090909091,126.90400008911938,9.811644896196032,2.0999137841230007,-1.9367125697378018,1.754456961951575,-2.9960023055505287,6.58001999602211,-0.6709568143290172,9.999998220000328e-07,214.32719734420328,7.560477932315068,6.106356605457231,8.263854896633553,4.698377302757663,3.012701224939708,3.012701224939708,2.1706136519126997,2.1706136519126997,1.3023887651244548,1.3023887651244548,0.6846486364674723,0.6846486364674723,-0.13506493506493533,180.91251467537336,10.864935064935064,4.68414307021498,3.174306319003079,82.85082863895485,34.02468527539406,7.04767198267719,12.393687143226153,0.0,0.0,7.118392334224363,0.0,4.567099647791355,0.0,0.0,0.0,5.462803260414833,12.13273413692322,0.0,38.591784923185415,12.581195594639196,0.0,0.0,7.04767198267719,0.0,0.0,24.52642128014937,0.0,34.00654303346825,0.0,0.0,0.0,17.16643748435637,7.04767198267719,0.0,0.0,24.52642128014937,0.0,0.0,44.34,7.118392334224363,0.0,23.97664012526206,5.462803260414833,0.0,0.0,24.52642128014937,11.614771630468544,0.0,10.048045150132006,1.8252777777777778,0.0,0.0,17.321783824640967,0.51212962962963,0.0,3.314814814814815,3.5174074074074073,0.0,0.5085865457294028,0.16666666666666666,11.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,1.0,0.0,0.0,1.0,-4.805099999999998,37.4436,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.243
C[n+]1ccc(B(O)O)cc1.[I-],8.660891912320483,-1.36,8.660891912320483,0.0,0.30388781890128447,264.859,255.78699999999998,264.977106928,60.0,0.4883713933954707,-1.0,1.0,0.4883713933954707,1.2727272727272727,1.7272727272727273,2.090909090909091,126.90400008911938,9.811644896196032,2.0999137841230007,-1.9367125697378018,1.754456961951575,-2.9960023055505287,6.58001999602211,-0.6709568143290172,9.999998220000328e-07,214.32719734420328,7.560477932315068,6.106356605457231,8.263854896633553,4.698377302757663,3.012701224939708,3.012701224939708,2.1706136519126997,2.1706136519126997,1.3023887651244548,1.3023887651244548,0.6846486364674723,0.6846486364674723,-0.13506493506493533,180.91251467537336,10.864935064935064,4.68414307021498,3.174306319003079,82.85082863895485,34.02468527539406,7.04767198267719,12.393687143226153,0.0,0.0,7.118392334224363,0.0,4.567099647791355,0.0,0.0,0.0,5.462803260414833,12.13273413692322,0.0,38.591784923185415,12.581195594639196,0.0,0.0,7.04767198267719,0.0,0.0,24.52642128014937,0.0,34.00654303346825,0.0,0.0,0.0,17.16643748435637,7.04767198267719,0.0,0.0,24.52642128014937,0.0,0.0,44.34,7.118392334224363,0.0,23.97664012526206,5.462803260414833,0.0,0.0,24.52642128014937,11.614771630468544,0.0,10.048045150132006,1.8252777777777778,0.0,0.0,17.321783824640967,0.51212962962963,0.0,3.314814814814815,3.5174074074074073,0.0,0.5085865457294028,0.16666666666666666,11.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,1.0,0.0,0.0,1.0,-4.805099999999998,37.4436,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.243
