Reaction Smiles,Yield /%
NCC1=CC=CC=C1.O=C(C1CCCCC1)O>C[N+]1=CC=C(B(O)O)C=C1.[I-]>O=C(NCc1ccccc1)C1CCCCC1,59
NCC1=CC=CC=C1.O=C(C1CCCCC1)O>C[N+]1=CC=CC(B(O)O)=C1.[I-]>O=C(NCc1ccccc1)C1CCCCC1,54
NCC1=CC=CC=C1.O=C(C1CCCCC1)O>OB(C1=CC=CN=C1)O>O=C(NCc1ccccc1)C1CCCCC1,43
NCC1=CC=CC=C1.O=C(C1CCCCC1)O>OB(C1=CC=NC=C1)O>O=C(NCc1ccccc1)C1CCCCC1,8
NCC1=CC=CC=C1.O=C(O)CCCC1=CC=CC=C1>C[N+]1=CC=C(B(O)O)C=C1.[I-]>O=C(CCCc1ccccc1)NCc1ccccc1,41
NCC1=CC=CC=C1.O=C(O)CCCC1=CC=CC=C1>C[N+]1=CC=C(B(O)O)C=C1.[I-]>O=C(CCCc1ccccc1)NCc1ccccc1,74
NCC1=CC=CC=C1.O=C(O)CCCC1=CC=CC=C1>C[N+]1=CC=C(B(O)O)C=C1.[I-]>O=C(CCCc1ccccc1)NCc1ccccc1,99
NCC1=CC=CC=C1.O=C(O)CCCC1=CC=CC=C1>OB(C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)O>O=C(CCCc1ccccc1)NCc1ccccc1,88
NCC1=CC=CC=C1.O=C(C1CCCCC1)O>C[N+]1=CC=C(B(O)O)C=C1.[I-]>O=C(NCc1ccccc1)C1CCCCC1,92
CNCC1=CC=CC=C1.O=C(O)CCCC1=CC=CC=C1>C[N+]1=CC=C(B(O)O)C=C1.[I-]>CN(Cc1ccccc1)C(=O)CCCc1ccccc1,95
NCC1=CC=CC=C1.COC(C(O)=O)C1=CC=CC=C1>C[N+]1=CC=C(B(O)O)C=C1.[I-]>COC(C(=O)NCc1ccccc1)c1ccccc1,98
NCC1=CC=CC=C1.COC(C(O)=O)C1=CC=CC=C1>C[N+]1=CC=C(B(O)O)C=C1.[I-]>COC(C(=O)NCc1ccccc1)c1ccccc1,93
NCC1=CC=CC=C1.COC(C(O)=O)C1=CC=CC=C1>C[N+]1=CC=C(B(O)O)C=C1.[I-]>COC(C(=O)NCc1ccccc1)c1ccccc1,95
NCC1=CC=CC=C1.OC(C(O)=O)C1=CC=CC=C1>C[N+]1=CC=C(B(O)O)C=C1.[I-]>O=C(NCc1ccccc1)C(O)c1ccccc1,91
NC1=CC=CC=C1.COC(C(O)=O)C1=CC=CC=C1>C[N+]1=CC=C(B(O)O)C=C1.[I-]>COC(C(=O)Nc1ccccc1)c1ccccc1,80
NCC1=CC=CC=C1.O=C(C12CC3CC(C2)CC(C3)C1)O>C[N+]1=CC=C(B(O)O)C=C1.[I-]>O=C(NCc1ccccc1)C12CC3CC(CC(C3)C1)C2,91
NCC1=CC=CC=C1.OC(/C=C/C1=CC=CC=C1)=O>C[N+]1=CC=C(B(O)O)C=C1.[I-]>O=C(/C=C/c1ccccc1)NCc1ccccc1,90
NCC1=CC=CC=C1.O=C(C1=CC=CC=C1)O>C[N+]1=CC=C(B(O)O)C=C1.[I-]>O=C(NCc1ccccc1)c1ccccc1,98
NCC1=CC=CC=C1.N#CC1=CC=C(C(O)=O)C=C1>C[N+]1=CC=C(B(O)O)C=C1.[I-]>N#Cc1ccc(C(=O)NCc2ccccc2)cc1,99
NCC1=CC=CC=C1.N#CC1=CC=C(C(O)=O)C=C1>C[N+]1=CC=C(B(O)O)C=C1.[I-]>N#Cc1ccc(C(=O)NCc2ccccc2)cc1,98
NCC1=CC=CC=C1.N#CC1=CC=C(C(O)=O)C=C1>C[N+]1=CC=C(B(O)O)C=C1.[I-]>N#Cc1ccc(C(=O)NCc2ccccc2)cc1,99
NCC1=CC=CC=C1.O=C(O)CCCC1=CC=CC=C1>C12=C(OBO2)C=CC=C1>O=C(CCCc1ccccc1)NCc1ccccc1,61
NCC1=CC=CC=C1.O=C(O)CCCC1=CC=CC=C1>OB1OC2=C(Cl)C(Cl)=C(Cl)C(Cl)=C2O1>O=C(CCCc1ccccc1)NCc1ccccc1,93
NCC1=CC=CC=C1.O=C(O)CCCC1=CC=CC=C1>O=C1C(OB(O)O1)=O>O=C(CCCc1ccccc1)NCc1ccccc1,64
NCC1=CC=CC=C1.O=C(O)CCCC1=CC=CC=C1>O=C1C(C)(C)OB(O)O1>O=C(CCCc1ccccc1)NCc1ccccc1,74
NCC1=CC=CC=C1.O=C(O)CCCC1=CC=CC=C1>OB(O)O>O=C(CCCc1ccccc1)NCc1ccccc1,31
NCC1=CC=CC=C1.O=C(O)CCCC1=CC=CC=C1>OB(O)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1>O=C(CCCc1ccccc1)NCc1ccccc1,96
NCC1=CC=CC=C1.O=C(O)C1CCCCC1>OB1OC2=C(Cl)C(Cl)=C(Cl)C(Cl)=C2O1>O=C(NCc1ccccc1)C1CCCCC1,52
NCC1=CC=CC=C1.O=C(O)C1CCCCC1>[H]B1OC2=C(C(Cl)=C(C(Cl)=C2O1)Cl)Cl>O=C(NCc1ccccc1)C1CCCCC1,62
NCC1=CC=CC=C1.O=C(O)C1CCCCC1>OB(O)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1>O=C(NCc1ccccc1)C1CCCCC1,32
NCC1=CC=CC=C1.O=C(O)C1CCCCC1>OB(O)O>O=C(NCc1ccccc1)C1CCCCC1,2
