,Yield /%
251,9
72,27
204,3
150,92
231,45
149,56
199,41
296,25
26,96
237,48
12,95
210,90
193,38
84,80
275,39
162,75
252,5
161,31
264,96
36,59
181,0
247,97
212,92
245,5
119,46
9,95
232,70
71,42
20,99
116,52
24,74
173,99
176,0
177,65
80,99
196,65
95,73
97,74
290,62
4,41
184,31
27,52
136,99
277,32
175,0
61,47
125,75
126,11
148,85
60,93
31,3
99,56
253,31
13,91
254,39
261,94
225,38
123,55
160,72
202,98
135,98
45,11
214,95
58,30
297,46
115,96
262,94
47,99
110,92
265,5
88,52
93,73
248,5
133,42
229,51
220,0
287,49
25,31
256,5
152,28
114,87
69,92
182,82
87,76
0,59
8,92
5,74
41,62
266,5
165,89
67,32
73,41
145,63
222,5
205,44
286,4
268,5
53,95
293,45
118,70
44,93
235,73
218,70
112,95
79,91
194,52
246,64
267,5
142,50
134,49
272,2
15,91
233,80
258,99
140,42
195,72
273,17
141,10
107,99
82,66
109,96
289,19
52,77
156,0
96,70
280,53
2,43
198,40
168,7
92,95
215,66
172,0
201,71
208,85
122,50
138,99
243,55
224,30
131,71
234,99
70,22
62,53
192,66
81,0
120,67
159,99
11,93
106,56
278,55
59,32
43,8
269,19
108,99
236,99
200,3
219,0
217,55
242,85
271,30
76,49
66,91
101,23
113,95
89,97
230,73
292,32
23,64
50,94
37,51
250,5
191,47
124,71
102,21
167,3
127,16
197,60
78,71
146,11
33,41
171,94
227,32
139,85
18,99
240,65
279,50
3,8
1,54
65,42
295,5
263,90
19,98
51,25
151,60
137,99
216,91
185,0
55,22
174,0
57,99
103,11
260,95
46,55
17,98
48,5
259,95
203,17
75,64
238,68
35,26
226,53
221,12
32,60
91,74
274,5
121,53
130,49
276,5
206,58
183,15
34,42
22,93
86,41
144,99
42,94
228,44
21,61
179,16
189,90
117,68
77,76
83,87
147,64
170,86
190,46
213,70
282,42
187,20
285,79
